closing_id,building_id,apartment_number,close_price,close_date
1,6,COMM,19000000.0,2016-04-15
2,6,"COMM,RES",30150000.0,2014-10-27
3,6, RES,26750000.0,2017-07-20
4,6,RES,26750000.0,2017-07-20
5,6,RES,26750000.0,2017-07-20
6,7,FL2,2200000.0,2017-12-21
7,7,5,470000.0,2016-04-13
8,14,503,580100.0,2017-11-10
9,14,1208,10.0,2018-07-13
10,14,804,635000.0,2018-02-28
11,14,701,1285250.0,2014-08-15
12,14,1405,1220000.0,2018-08-10
13,14,1305,1900000.0,2016-08-18
14,14,805,1855000.0,2017-02-16
15,14,201,1160000.0,2017-09-13
16,14,1002,615000.0,2017-06-02
17,14,301,1139000.0,2017-01-20
18,14,807,506000.0,2018-05-08
19,14,507,515000.0,2014-04-24
20,14,506,525000.0,2018-05-29
21,14,1106,522000.0,2018-06-12
22,14,PH04,650000.0,2018-06-15
23,14,1402,585000.0,2015-05-08
24,14,1409,978000.0,2014-10-08
25,14,904,615000.0,2015-06-23
26,14,703,595000.0,2017-08-10
27,14,1303,580000.0,2015-07-17
28,14,508,565000.0,2017-06-05
29,14,1009,1055000.0,2015-04-29
30,14,1206,550000.0,2015-06-29
31,14,707,495000.0,2014-03-06
32,14,1003,145002.0,2016-05-02
33,14,401,1265000.0,2015-08-24
34,14,"501,501",1218000.0,2014-08-14
35,14,803,535000.0,2015-07-21
36,14,1307,615000.0,2017-03-17
37,14,PH08,590000.0,2017-01-19
38,14,309,1078000.0,2016-09-30
39,14,208,650000.0,2014-03-20
40,14,405,1460000.0,2014-04-28
41,14,1406,525000.0,2015-07-01
42,14,1302,600000.0,2017-03-09
43,14,1407,585000.0,2015-08-04
44,14,206,439700.0,2014-11-14
45,14,608,565000.0,2016-06-29
46,14,PH03,560000.0,2016-02-03
47,14,1001,1200000.0,2014-07-15
48,14,203,575000.0,2016-12-22
49,14,708,483900.0,2014-07-03
50,14,1107,10.0,2014-03-13
51,16,26A,10.0,2015-05-26
52,16,29A,3014020.0,2014-05-01
53,16,15C,2800000.0,2016-04-21
54,16,"31E,32E",11175000.0,2016-09-26
55,16,28A,2750000.0,2016-03-14
56,16,26A,10.0,2015-11-02
57,16,26D,1200000.0,2016-07-13
58,16,19E,2400000.0,2018-05-11
59,16,15A,1900000.0,2018-05-22
60,16,15A,2500000.0,2015-01-12
61,16,19D,1160100.0,2016-09-27
62,16,33A,2850000.0,2016-02-05
63,16,33B,1180000.0,2016-04-26
64,16,23A,3650000.0,2014-10-09
65,16,25C,2900000.0,2015-09-03
66,16,31C,2450000.0,2016-09-08
67,16,18A,3245000.0,2017-06-19
68,16,PH2A,11700000.0,2014-04-17
69,16,37C,2900000.0,2016-11-09
70,16,16A,3195000.0,2017-07-24
71,16,15G,3975000.0,2016-08-31
72,16,32G,7550000.0,2014-02-03
73,16,35G,4024250.0,2017-07-31
74,16,23D,1190000.0,2015-06-23
75,16,24E,2700000.0,2017-11-14
76,16,21E,5445000.0,2015-05-01
77,36,19C,2204876.25,2014-01-21
78,36,19F,1802302.5,2014-04-22
79,36,20O,1787028.75,2014-01-24
80,36,28E,846165.75,2014-05-01
81,36,33C,1781937.5,2014-12-30
82,36,33J,721000.0,2018-01-08
83,36,30A,1150000.0,2018-03-01
84,36,31C,1710000.0,2018-02-16
85,36,30Q,770000.0,2018-03-29
86,36,21G,1017000.0,2015-11-19
87,36,27P,1293177.5,2014-02-28
88,36,29O,2036500.0,2014-07-24
89,36,32H,650000.0,2014-11-13
90,36,23F,1310000.0,2014-07-17
91,36,31O,1925000.0,2014-05-15
92,36,36R,1390000.0,2014-03-28
93,36,23M,1595000.0,2015-10-14
94,36,27I,645000.0,2014-06-05
95,36,37J,804417.5,2014-01-17
96,36,24E,804417.5,2014-04-14
97,36,32C,1771755.0,2014-06-06
98,36,34F,2725000.0,2015-03-17
99,36,30J,735000.0,2016-10-25
100,36,27R,1180000.0,2016-05-06
101,36,24B,1220000.0,2018-04-11
102,36,29F,1537557.5,2016-08-05
103,36,26K,1205000.0,2016-04-21
104,36,30E,877731.5,2018-04-20
105,36,18P,1170987.5,2016-01-26
106,36,28D,890968.75,2017-04-25
107,36,31J,741706.88,2017-03-09
108,36,34J,766419.38,2017-03-09
109,36,35J,784052.5,2017-03-21
110,36,38J,791797.5,2017-03-09
111,36,22P,1300000.0,2014-04-29
112,36,20M,610950.0,2018-06-21
113,36,24F,1425000.0,2016-04-29
114,36,30O,2013204.38,2017-07-24
115,36,27E,835000.0,2017-11-17
116,36,21P,1500000.0,2016-08-22
117,36,5 Units,6065000.0,2016-01-14
118,36,21L,735000.0,2016-11-22
119,36,19H,690000.0,2017-08-31
120,36,26E,965000.0,2016-01-12
121,36,38M,1960000.0,2015-10-07
122,36,24C,1575000.0,2014-05-23
123,36,19A,1750000.0,2017-04-28
124,36,26C,1795000.0,2015-05-05
125,36,35G,1425000.0,2017-08-30
126,36,1,2275000.0,2016-01-05
127,36,36J,771495.0,2017-03-09
128,36,30F,1475000.0,2017-03-29
129,36,"23P,32A,34A,34R",5080400.0,2014-03-27
130,36,28F,1450350.0,2017-09-12
131,36,32K,1210000.0,2015-06-26
132,36,31A,1100000.0,2014-03-27
133,36,25M,1750000.0,2015-03-20
134,36,30D,892540.0,2014-01-23
135,36,31B,1135000.0,2014-09-30
136,36,33E,989400.0,2014-03-27
137,36,28A,993500.0,2014-03-27
138,36,33K,1250000.0,2015-11-03
139,36,35B,1275000.0,2014-12-30
140,36,33G,1075000.0,2015-10-06
141,36,25F,1490000.0,2016-03-29
142,36,23H,729000.0,2015-03-04
143,36,32E,968760.0,2017-09-20
144,36,20F,1973905.0,2016-09-07
145,36,25K,1150000.0,2015-07-27
146,36,"24A,29E,32P,33M",5620000.0,2016-01-14
147,36,24P,1425550.0,2014-05-28
148,36,30K,1140000.0,2014-08-05
149,36,18H,685000.0,2017-08-10
150,36,21C,1795000.0,2016-01-25
151,36,25L,740000.0,2016-10-07
152,36,21N/O,3100000.0,2016-06-06
153,36,28B,1260000.0,2017-02-08
154,36,38F,1960000.0,2016-06-06
155,36,27M,1720000.0,2015-04-24
156,36,36H,1100000.0,2014-03-07
157,36,19J,700000.0,2015-01-29
158,36,24O,1856790.0,2014-04-15
159,36,19O,1890000.0,2016-01-12
160,36,34D,999500.0,2014-03-27
161,36,27F,1406250.0,2017-03-24
162,36,37F,2220075.0,2017-04-06
163,36,24F,1200000.0,2014-08-13
164,36,36O,3000000.0,2016-11-21
165,36,38C,2365000.0,2017-03-21
166,36,28P,1503000.0,2017-09-21
167,36,27Q,815000.0,2016-05-17
168,36,31G,1100000.0,2016-06-09
169,36,33P,1550000.0,2016-02-11
170,36,24L,739500.0,2016-05-04
171,36,22L,740000.0,2016-08-22
172,36,20K,1199000.0,2015-09-24
173,36,33D,989400.0,2014-03-27
174,46,"",239114603.53,2016-09-30
175,50,4B,2225000.0,2018-05-23
176,50,14B,2418343.75,2018-01-23
177,50,10A,1186115.0,2018-02-13
178,50,5C,1625000.0,2018-02-21
179,50,"COMMA,COMMB,COMMC",9625000.0,2016-03-29
180,50,19B,3207487.5,2017-05-31
181,50,21A,4100000.0,2017-08-16
182,50,9A,1140000.0,2017-12-28
183,50,5B,2372500.0,2017-09-28
184,50,19A,1598652.5,2017-06-01
185,50,4A,977520.0,2017-11-29
186,50,18AB,5225000.0,2017-06-28
187,50,9C,1802302.5,2017-06-13
188,50,15A,1245000.0,2017-08-08
189,50,6B,2394160.31,2017-12-19
190,50,14C,2107777.5,2017-05-24
191,50,"",46000000.0,2014-09-12
192,50,8B,2571081.25,2017-11-15
193,50,14A,1205904.38,2018-01-17
194,50,5A,1155713.75,2017-05-17
195,50,6A,1216808.75,2017-05-02
196,50,6C,1756481.25,2017-04-18
197,50,7C,1710466.88,2017-05-16
198,50,10C,2031408.75,2017-04-18
199,50,12C,2000861.25,2017-04-17
200,50,17A,2021226.25,2017-05-03
201,50,17B,3818437.5,2017-04-27
202,50,20A,1649565.0,2017-06-12
203,50,15C,2095000.0,2017-04-17
204,50,9A,1160805.0,2017-05-11
205,50,16B,2550000.0,2017-06-08
206,50,16C,2025000.0,2017-06-08
207,50,7B,2443800.0,2017-03-29
208,50,16A,1200000.0,2017-06-08
209,50,4C,1695000.0,2017-06-01
210,50,8C,1718806.0,2017-06-29
211,81,"1,2,3",2476572.0,2016-07-25
212,83,"",182391612.0,2016-09-30
213,83,"",1500000.0,2015-12-31
214,91,37B,1275000.0,2018-01-08
215,91,12G,945337.79,2014-05-29
216,91,23C,1119635.89,2014-05-29
217,91,24G,1040511.66,2014-05-29
218,91,29C,1230409.4,2014-05-29
219,91,31I,1904127.5,2015-02-04
220,91,25C,1206000.0,2018-01-19
221,91,9B,1135348.75,2015-07-16
222,91,15C,1241246.75,2015-06-24
223,91,16E,1929583.75,2015-08-26
224,91,18H,1776846.25,2015-07-16
225,91,21C,1149095.13,2015-02-18
226,91,27E,2082321.25,2015-07-16
227,91,33A,1973368.5,2015-03-11
228,91,35G,1220881.75,2015-02-04
229,91,32C,1169000.0,2018-07-09
230,91,COM-2,7910000.0,2015-02-10
231,91,29A,1920000.0,2018-02-15
232,91,18E,1800000.0,2018-03-02
233,91,40A,1990000.0,2018-06-15
234,91,40D,992793.75,2018-03-22
235,91,40F,1250000.0,2018-03-22
236,91,19H,1967259.0,2015-11-23
237,91,26C,1151284.14,2014-05-29
238,91,21G,975000.0,2014-06-05
239,91,26G,1100000.0,2014-09-16
240,91,9D,813464.76,2014-05-29
241,91,27D,946972.5,2014-11-17
242,91,38D,950000.0,2018-07-25
243,91,32G,1119635.89,2014-05-29
244,91,D5,2315000.0,2014-12-23
245,91,31E,1967793.75,2014-12-11
246,91,20A,1775000.0,2014-09-15
247,91,33G,1073500.0,2014-09-04
248,91,30D,1008862.38,2014-05-29
249,91,42J,1661784.0,2015-07-29
250,91,14A,1669930.0,2015-04-02
251,91,12H,1725933.75,2015-06-24
252,91,41K,1680112.5,2015-04-23
253,91,22B,1140000.0,2015-01-29
254,91,16F,995000.0,2018-07-26
255,91,COM-1,7400000.0,2014-06-11
256,91,17B,1056336.3,2014-05-29
257,91,20E,1822667.5,2014-12-15
258,91,35E,2187191.25,2014-05-29
259,91,45A,2194328.75,2014-12-29
260,91,31F,1133965.64,2014-05-29
261,91,33E,2139557.64,2014-05-29
262,91,34G,1144550.43,2014-05-29
263,91,36A,1980496.25,2014-11-18
264,91,11C,967337.5,2014-11-03
265,91,23F,1045786.54,2014-05-29
266,91,25B,1088521.31,2014-05-29
267,91,28D,1040511.66,2014-05-29
268,91,32F,1144550.43,2014-05-29
269,91,42C,1277903.75,2014-12-04
270,91,D8,1725424.63,2015-02-19
271,91,9C,1194407.25,2015-06-02
272,91,15G,1008067.5,2015-02-19
273,91,16F,1038665.91,2015-06-25
274,91,21E,2107777.5,2015-05-26
275,91,22F,1157750.25,2015-04-20
276,91,23B,1257538.75,2015-07-15
277,91,26B,1219863.5,2015-07-01
278,91,30I,1888853.75,2015-06-24
279,91,43J,1624108.75,2015-05-11
280,91,16B,1024462.02,2014-05-29
281,91,23H,1858306.25,2015-10-20
282,91,9G,1126184.5,2016-01-21
283,91,43L,2650000.0,2016-09-19
284,91,46A,2400000.0,2016-10-06
285,91,11H,1580000.0,2016-12-01
286,91,17B,1115000.0,2016-12-29
287,91,7B,1020000.0,2017-02-15
288,91,38A,2100000.0,2016-12-20
289,91,40B,1365000.0,2017-05-18
290,91,34I,2036500.0,2015-10-30
291,91,D4,1840000.0,2015-12-04
292,91,7E,1985587.5,2016-03-09
293,91,11G,1135348.75,2016-01-29
294,91,42K,1660000.0,2016-12-20
295,91,17A,1700000.0,2017-02-14
296,91,9A,1600000.0,2017-01-11
297,91,30F,1240000.0,2015-12-21
298,91,D9,1430000.0,2017-09-14
299,91,17F,1100000.0,2017-01-20
300,91,46J,1570000.0,2017-12-11
301,91,44C,1280000.0,2018-01-09
302,91,37E,2600000.0,2015-11-19
303,91,12F,1163859.75,2015-11-02
304,91,46C,1330000.0,2018-03-08
305,91,15H,1607500.0,2018-02-13
306,91,46K,1580000.0,2017-12-11
307,91,29E,1925000.0,2017-12-18
308,91,25C,1206000.0,2018-01-19
