listing_id,building_id,apartment_number,list_price,list_date
1,7,PH,2300000,2018-08-02 00:00:00 -0400
2,7,14,2295000,2018-03-26 00:00:00 -0400
3,14,PH-4,685000,2017-11-21 00:00:00 -0500
4,14,1206,560000,2015-04-10 22:14:01 -0400
5,14,1407,585000,2015-04-14 00:00:00 -0400
6,14,PH03,560000,2016-02-02 00:00:00 -0500
7,14,508,575000,2017-02-02 00:00:00 -0500
8,14,409,925000,2018-04-30 12:38:57 -0400
9,14,904,629000,2014-09-18 00:00:00 -0400
10,14,1009,1050000,2015-01-10 00:00:00 -0500
11,14,805,1900000,2016-11-30 00:00:00 -0500
12,14,1305,1995000,2015-12-03 00:00:00 -0500
13,14,803,525000,2015-05-05 09:50:48 -0400
14,14,1303,575000,2015-05-11 00:00:00 -0400
15,14,1302,659000,2016-11-28 00:00:00 -0500
16,14,1307,618000,2017-01-09 00:00:00 -0500
17,14,1002,615000,2017-01-19 00:00:00 -0500
18,14,807,570000,2017-11-26 00:00:00 -0500
19,14,PH08,598000,2016-10-11 00:00:00 -0400
20,14,304,695000,2017-03-17 00:00:00 -0400
21,14,1409,899000,2014-07-07 00:00:00 -0400
22,14,503,575000,2017-06-03 11:05:51 -0400
23,14,507,499000,2014-01-17 00:00:00 -0500
24,14,405,1400000,2014-02-11 00:00:00 -0500
25,14,301,1195000,2016-07-07 00:00:00 -0400
26,14,703,595000,2017-05-30 00:00:00 -0400
27,14,1001,1295000,2018-08-16 00:00:00 -0400
28,14,201,1195000,2017-06-03 12:53:55 -0400
29,14,701,1150000,2014-05-16 00:00:00 -0400
30,14,704,639000,2018-04-18 00:00:00 -0400
31,14,202,615000,2018-07-16 09:57:47 -0400
32,14,PH06,495000,2018-05-24 15:48:15 -0400
33,14,404,590000,2017-10-25 00:00:00 -0400
34,14,1405,1955000,2017-02-02 00:00:00 -0500
35,14,309,1075000,2016-05-12 00:00:00 -0400
36,16,33A,3300000,2015-08-17 00:00:00 -0400
37,16,26-D,1350000,2016-01-26 00:00:00 -0500
38,16,15-A,2950000,2017-08-31 00:00:00 -0400
39,16,15-C,2150000,2015-08-21 00:00:00 -0400
40,16,24E,2850000,2017-04-17 00:00:00 -0400
41,16,37G,5598000,2017-01-14 00:00:00 -0500
42,16,35G,4500000,2017-02-03 00:00:00 -0500
43,16,19D,1250000,2016-04-08 12:26:26 -0400
44,16,33B,1249000,2016-04-24 12:30:08 -0400
45,16,15G,4800000,2016-01-07 00:00:00 -0500
46,16,23A,3650000,2014-08-06 00:00:00 -0400
47,16,25-C,2995000,2014-03-11 00:00:00 -0400
48,16,37-C,3500000,2016-03-23 00:00:00 -0400
49,16,31/32E,13500000,2015-10-09 09:03:47 -0400
50,16,PH-1C,12500000,2016-01-26 00:00:00 -0500
51,16,15A,2650000,2014-01-13 00:00:00 -0500
52,16,18-A,3950000,2017-01-19 00:00:00 -0500
53,16,33c,3250000,2018-03-19 00:00:00 -0400
54,16,PH-2C,10995000,2017-01-10 00:00:00 -0500
55,16,18-D,1490000,2018-06-18 00:00:00 -0400
56,16,28-A,3100000,2018-04-27 00:00:00 -0400
57,16,21C,2750000,2018-09-04 00:00:00 -0400
58,16,32-C,2895000,2018-05-15 00:00:00 -0400
59,16,16-A,3100000,2017-03-23 00:00:00 -0400
60,16,29C,3621000,2018-04-26 00:00:00 -0400
61,36,31M,1750000,2015-10-28 00:00:00 -0400
62,36,38O,2595000,2015-10-29 00:00:00 -0400
63,36,36C,2750000,2018-02-27 22:18:02 -0500
64,36,22R,1350000,2018-05-04 19:13:44 -0400
65,36,27O,2150000,2015-10-27 00:00:00 -0400
66,36,19O,2190000,2015-08-07 00:00:00 -0400
67,36,21NO,3200000,2016-01-27 00:00:00 -0500
68,36,19A,1895000,2016-12-23 10:29:58 -0500
69,36,28E,840000,2014-01-09 00:00:00 -0500
70,36,27R,1199000,2015-11-30 00:00:00 -0500
71,36,22-L,769000,2016-03-05 00:00:00 -0500
72,36,21-L,745000,2016-08-21 00:00:00 -0400
73,36,21C,1850000,2015-09-16 00:00:00 -0400
74,36,30O,2220000,2015-10-28 00:00:00 -0400
75,36,33-J,820000,2016-10-13 00:00:00 -0400
76,36,25-M,1690000,2014-12-11 00:00:00 -0500
77,36,31-G,1180000,2016-02-13 00:00:00 -0500
78,36,38-F,1995000,2016-03-15 00:00:00 -0400
79,36,33-P,1649000,2018-08-16 00:00:00 -0400
80,36,28D,960000,2015-10-27 00:00:00 -0400
81,36,27F,1520000,2016-06-15 00:00:00 -0400
82,36,27-E,870000,2017-09-07 00:00:00 -0400
83,36,28-P,1559000,2016-07-28 00:00:00 -0400
84,36,32K,1255000,2014-09-04 00:00:00 -0400
85,36,26C,2000000,2014-12-17 00:00:00 -0500
86,36,30K,1150000,2014-03-30 00:00:00 -0400
87,36,31-C,2195000,2017-04-17 00:00:00 -0400
88,36,24-F,1450000,2015-08-18 00:00:00 -0400
89,36,18fg,2495000,2015-02-09 02:42:22 -0500
90,36,21G,1050000,2015-08-12 00:00:00 -0400
91,36,23H,729000,2015-01-05 18:30:24 -0500
92,36,33-G,1100000,2015-05-05 00:00:00 -0400
93,36,20F,2070000,2015-10-23 00:00:00 -0400
94,36,30J,795000,2016-05-09 00:00:00 -0400
95,36,26-J,739000,2018-05-10 00:00:00 -0400
96,36,36MN,2950000,2018-03-17 00:00:00 -0400
97,36,38C,2750000,2015-10-29 00:00:00 -0400
98,36,18H,795000,2015-09-25 00:00:00 -0400
99,36,30-Q,900000,2017-04-13 00:00:00 -0400
100,36,30A,1250000,2016-11-17 00:00:00 -0500
101,36,33-P,1650000,2015-10-27 00:00:00 -0400
102,36,25-E,829000,2017-01-18 00:00:00 -0500
103,36,28-B,1299000,2016-11-04 00:00:00 -0400
104,36,23-M,1595000,2015-08-25 00:00:00 -0400
105,36,31LM,2485000,2018-05-23 00:00:00 -0400
106,36,34-F,2950000,2014-10-21 00:00:00 -0400
107,36,35B,1275000,2014-03-12 00:00:00 -0400
108,36,23-F,1385000,2014-02-04 00:00:00 -0500
109,36,24L,789000,2015-09-25 13:02:52 -0400
110,36,24O,1995000,2018-08-10 00:00:00 -0400
111,36,29O,2000000,2014-04-29 00:00:00 -0400
112,36,25F,1599000,2015-05-26 00:00:00 -0400
113,36,20K,1199000,2015-05-26 00:00:00 -0400
114,36,27Q,845000,2015-10-27 00:00:00 -0400
115,36,36O,3530000,2015-10-29 00:00:00 -0400
116,36,34R,1346400,2014-03-28 00:00:00 -0400
117,36,29F,1570000,2015-10-27 00:00:00 -0400
118,36,31O,1925000,2014-05-15 00:00:00 -0400
119,36,33K,1250000,2015-07-21 00:00:00 -0400
120,36,19J,699000,2014-08-01 00:00:00 -0400
121,36,24C,1750000,2018-06-26 00:00:00 -0400
122,36,33C,1750000,2014-05-22 00:00:00 -0400
123,36,24c,1575000,2014-04-15 12:49:24 -0400
124,36,36R,1390000,2014-01-08 00:00:00 -0500
125,36,23P,1340000,2014-03-06 00:00:00 -0500
126,36,28A,1000000,2014-03-06 00:00:00 -0500
127,36,33D,970000,2014-03-06 00:00:00 -0500
128,36,24B,1220000,2015-10-26 00:00:00 -0400
129,36,31A,1070000,2014-03-06 00:00:00 -0500
130,36,33E,970000,2014-03-06 00:00:00 -0500
131,36,27I,675000,2014-01-14 00:00:00 -0500
132,36,19H,725000,2015-09-28 00:00:00 -0400
133,36,34K,1495000,2017-05-04 00:00:00 -0400
134,36,28C,1825000,2017-09-11 09:50:15 -0400
135,36,26-K,1284500,2018-01-24 00:00:00 -0500
136,36,31L,735000,2015-10-28 00:00:00 -0400
137,36,27-R,1395000,2017-07-18 00:00:00 -0400
138,36,33A,1110000,2014-03-06 00:00:00 -0500
139,36,31D,960000,2018-06-07 12:16:45 -0400
140,36,37F,2475000,2015-10-29 00:00:00 -0400
141,36,35J,870000,2015-10-29 00:00:00 -0400
142,36,21P,1595000,2015-10-23 00:00:00 -0400
143,36,30F,1595000,2016-08-10 00:00:00 -0400
144,36,24K,1200000,2018-07-16 00:00:00 -0400
145,36,28F,1520000,2017-03-06 00:00:00 -0500
146,36,32H,720000,2014-02-12 00:00:00 -0500
147,36,32C,1740000,2014-03-07 00:00:00 -0500
148,36,28A,1230000,2018-05-10 00:00:00 -0400
149,36,34D,1010000,2014-03-06 00:00:00 -0500
150,36,32A,1090000,2014-03-06 00:00:00 -0500
151,36,34A,1195000,2014-03-06 00:00:00 -0500
152,36,26E,975000,2015-09-07 00:00:00 -0400
153,36,18M,1670000,2018-01-22 00:00:00 -0500
154,36,29-M,1895000,2018-04-25 00:00:00 -0400
155,36,26A,1150000,2018-05-04 19:17:24 -0400
156,50,8B,2625000,2017-08-17 00:00:00 -0400
157,50,19B,3150000,2015-06-23 00:00:00 -0400
158,50,17B,3850000,2016-04-13 00:00:00 -0400
159,50,18AB,5335000,2016-04-14 00:00:00 -0400
160,50,6B,2490000,2015-08-13 00:00:00 -0400
161,50,4C,1695000,2015-12-16 00:00:00 -0500
162,50,15C,2095000,2016-02-25 00:00:00 -0500
163,50,19A,1570000,2016-05-03 00:00:00 -0400
164,50,17A,1985000,2016-04-13 00:00:00 -0400
165,50,14B,2375000,2015-09-01 00:00:00 -0400
166,50,10C,1995000,2015-10-14 00:00:00 -0400
167,50,7B,2400000,2015-06-03 00:00:00 -0400
168,50,16B,2550000,2015-09-24 00:00:00 -0400
169,50,16A,1200000,2015-09-24 00:00:00 -0400
170,50,14C,2070000,2015-12-14 00:00:00 -0500
171,50,9A,1140000,2015-06-22 00:00:00 -0400
172,50,21A,4100000,2015-09-24 00:00:00 -0400
173,50,15A,1265000,2016-12-06 00:00:00 -0500
174,50,9C,1770000,2016-06-15 00:00:00 -0400
175,50,20A,1785000,2016-06-06 00:00:00 -0400
176,50,8C,1755000,2016-06-21 00:00:00 -0400
177,50,11-C,1750000,2015-11-12 00:00:00 -0500
178,50,12-B,2150000,2018-07-25 00:00:00 -0400
179,50,9-A,1075000,2018-07-25 00:00:00 -0400
180,50,20-A,2150000,2017-10-05 00:00:00 -0400
181,50,12C,1965000,2015-06-03 00:00:00 -0400
182,50,6C,1680000,2015-07-24 00:00:00 -0400
183,50,16C,2025000,2015-09-24 00:00:00 -0400
184,50,7C,1695000,2015-06-03 00:00:00 -0400
185,50,6A,1195000,2015-11-10 00:00:00 -0500
186,50,4A,960000,2015-07-22 00:00:00 -0400
187,50,5B,2525000,2017-04-27 00:00:00 -0400
188,50,DUPLEX-B,2500000,2018-05-19 00:00:00 -0400
189,50,5C,1710000,2017-07-06 00:00:00 -0400
190,50,14A,1250000,2017-05-04 00:00:00 -0400
191,50,23-A,2995000,2018-05-13 00:00:00 -0400
192,50,PH-B,5495000,2017-11-01 00:00:00 -0400
193,50,9-B,2495000,2018-03-08 00:00:00 -0500
194,50,10-B,2000000,2015-09-02 00:00:00 -0400
195,50,5A,1180000,2016-02-25 00:00:00 -0500
196,50,4B,2595000,2016-05-09 00:00:00 -0400
197,50,PH-A,5650000,2018-05-18 00:00:00 -0400
198,50,7-A,995000,2015-06-03 00:00:00 -0400
199,51,17A,1935000,2016-03-31 00:00:00 -0400
200,51,27B,2020000,2016-03-31 00:00:00 -0400
201,51,9B,1785000,2016-08-24 00:00:00 -0400
202,51,33B,2120000,2016-03-31 00:00:00 -0400
203,51,12B,1935000,2016-03-31 00:00:00 -0400
204,51,24B,1960000,2016-03-31 00:00:00 -0400
205,51,26B,2000000,2016-03-31 00:00:00 -0400
206,51,10B,1835000,2016-11-14 00:00:00 -0500
207,51,18B,1840000,2016-03-31 00:00:00 -0400
208,51,8C,1220000,2016-03-31 00:00:00 -0400
209,51,10A,1650000,2016-03-31 00:00:00 -0400
210,51,24A,1970000,2017-10-02 00:00:00 -0400
211,51,40A,3160000,2018-05-16 00:00:00 -0400
212,51,PH4,7220000,2016-03-30 00:00:00 -0400
213,51,12C,1360000,2016-03-31 00:00:00 -0400
214,51,10C,1290000,2016-03-31 00:00:00 -0400
215,51,23B,1940000,2016-03-31 00:00:00 -0400
216,51,8A,1600000,2016-11-16 00:00:00 -0500
217,51,34A,2890000,2016-03-31 00:00:00 -0400
218,51,16C,1540000,2016-11-16 00:00:00 -0500
219,51,25A,1975000,2016-03-31 00:00:00 -0400
220,51,DUPLEX14,4250000,2016-09-06 00:00:00 -0400
